id,inc,complex,inc_clean
NCT05143151,The ECOG score is 0-2 points;,0,The ECOG score is 0-2 points
NCT04714593,"The clinical laboratory test results of screening phase meet the following criteria: (7 days before the inspection without blood transfusion) Hb≥60 g/L (allowed to use recombinant human erythropoietin); PLT≥ 50 x 10 ^ 9 / L ; ALC≥0.3×10^9/L; ANC≥0.75×10^9/L (allowed to use granulocyte colony stimulating factor); AST≤3ULN,ALT≤3ULN,TBIL≤2ULN；Ccr≥30 mL/min/1.73 m2；",1,"The clinical laboratory test results of screening phase meet the following criteria: (7 days before the inspection without blood transfusion) Hb≥60 g/L (allowed to use recombinant human erythropoietin); PLT≥ 50 x 10 ^ 9 / L ; ALC≥0.3×10^9/L; ANC≥0.75×10^9/L (allowed to use granulocyte colony stimulating factor); AST≤3ULN,ALT≤3ULN,TBIL≤2ULN;Ccr≥30 mL/min/1.73 m2"
NCT02794961,Greater than four years of age,0,Greater than four years of age
NCT05627323,Confirmed MMP2+ tumor expression by IHC (≥20% moderate/high MMP2 score [2+ or 3+]).,0,Confirmed MMP2+ tumor expression by IHC (≥20% moderate/high MMP2 score [2+ or 3+]).
NCT05437341,"Liver function: defined as alanine transaminase (ALT) <3x upper limit of normal (ULN), aspartate aminotransferase (AST) <3x ULN; serum bilirubin and alkaline phosphatase <2x ULN.",1,"Liver function: defined as alanine transaminase (ALT) <3x upper limit of normal (ULN), aspartate aminotransferase (AST) <3x ULN; serum bilirubin and alkaline phosphatase <2x ULN."
NCT03815383,"Age 18-75 years old, male or female.",1,"Age 18-75 years old, male or female."
NCT05437328,"Patients with tumors received standard first-line therapy and have been judged to be non-resectable, metastatic, progressive or recurrent.",1,"Patients with tumors received standard first-line therapy and have been judged to be non-resectable, metastatic, progressive or recurrent."
NCT03277729,"Patients with waldenstrom macroglobulinemia (WM) without radiologic evidence of disease are eligible if they have measurable disease, as defined by serum monoclonal M-spike of >= 0.5 g/dL",1,"Patients with waldenstrom macroglobulinemia (WM) without radiologic evidence of disease are eligible if they have measurable disease, as defined by serum monoclonal M-spike of >= 0.5 g/dL"
NCT04697290,Double positive expression of CD19 / CD20 in B cells;,0,Double positive expression of CD19 / CD20 in B cells
NCT05618041,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT01683279,"CD19+ Leukemia with indication for HCT, but has contraindication",0,"CD19+ Leukemia with indication for HCT, but has contraindication"
NCT04715217,"The Clinical diagnosis of recurrent/refractory B cell lymphoma, after at least 2 courses of treatment, has not been achieved partial response, still in the continuous phase and progress, including the MRD positive, or recurrent intramedullary patients；",1,"The Clinical diagnosis of recurrent/refractory B cell lymphoma, after at least 2 courses of treatment, has not been achieved partial response, still in the continuous phase and progress, including the MRD positive, or recurrent intramedullary patients"
NCT05137275,"Hematologic system (no blood transfusion or hematopoietic stimulator treatment within 14 days)
 

 Absolute neutrophil count (ANC) ≥1.5×109/L
 Platelet (PLT) ≥75×109/L
 Hemoglobin (Hb) ≥85g/L
 Hepatic function
 Total bilirubin (TBIL) ≤1.5×ULN
 Alanine aminotransferase (ALT) ≤3×ULN;
 Patients with liver metastasis or liver cancer: ≤5×ULN
 Aspartate aminotransferase (AST) ≤3×ULN;
 Patients with liver metastasis or liver cancer: ≤5×ULN Renal function
 Creatinine (Cr) ≤1.5× ULN
 Creatinine clearance (Ccr) (to be calculated only when Cr > 1.5× ULN) > -50ml/min/1.73m2 (Cockcroft-Gault formula) Coagulation function
 Activated partial thrombin time (APTT) ≤1.5×ULN
 International normalized ratio (INR) ≤1.5×ULN",1,Hematologic system (no blood transfusion or hematopoietic stimulator treatment within 14 days) Absolute neutrophil count (ANC) ≥1.5×109/L Platelet (PLT) ≥75×109/L Hemoglobin (Hb) ≥85g/L Hepatic function Total bilirubin (TBIL) ≤1.5×ULN Alanine aminotransferase (ALT) ≤3×ULN; Patients with liver metastasis or liver cancer: ≤5×ULN Aspartate aminotransferase (AST) ≤3×ULN; Patients with liver metastasis or liver cancer: ≤5×ULN Renal function Creatinine (Cr) ≤1.5× ULN Creatinine clearance (Ccr) (to be calculated only when Cr > 1.5× ULN) > -50ml/min/1.73m2 (Cockcroft-Gault formula) Coagulation function Activated partial thrombin time (APTT) ≤1.5×ULN International normalized ratio (INR) ≤1.5×ULN
NCT04317885,11. Expected survival ≥ 3months,0,Expected survival ≥ 3months
NCT02846584,Expected survival time of patients enrolled is over 3 months.,0,Expected survival time of patients enrolled is over 3 months.
NCT04601831,"All men, as well as women of child-bearing potential must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry, for the duration of study participation, and for 90 days following completion of therapy. Should a woman become pregnant or suspect she is pregnant while participating in this study, she should inform her treating physician immediately.",0,"All men, as well as women of child-bearing potential must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry, for the duration of study participation, and for 90 days following completion of therapy. Should a woman become pregnant or suspect she is pregnant while participating in this study, she should inform her treating physician immediately."
NCT02715362,"Persistent cancer after at least one prior standard of care chemotherapy, has no willing for surgery or cannot be suitable for surgery patients;",1,"Persistent cancer after at least one prior standard of care chemotherapy, has no willing for surgery or cannot be suitable for surgery patients"
